seed,architecture,condition,RMSE
42,BayesianLSTM,real,1.2518
42,LSTM,real,1.3167
42,GRU,real,1.2819
42,BiLSTM,real,1.3477
42,Mamba,real,1.4161
42,Ridge,real,1.3764
42,MLP,real,4.3753
42,BayesianLSTM,augmented,1.3420
42,LSTM,augmented,1.2099
42,GRU,augmented,1.3984
42,BiLSTM,augmented,1.4998
42,Mamba,augmented,1.6356
42,Ridge,augmented,1.6033
42,MLP,augmented,1.7086
1,BayesianLSTM,real,1.2503
1,LSTM,real,1.3805
1,GRU,real,1.3778
1,BiLSTM,real,1.4332
1,Mamba,real,1.4730
1,Ridge,real,1.3764
1,MLP,real,4.7426
1,BayesianLSTM,augmented,1.3775
1,LSTM,augmented,1.4833
1,GRU,augmented,1.4784
1,BiLSTM,augmented,1.4563
1,Mamba,augmented,1.8272
1,Ridge,augmented,1.6033
1,MLP,augmented,1.6651
7,BayesianLSTM,real,1.2997
7,LSTM,real,1.4564
7,GRU,real,1.4029
7,BiLSTM,real,1.4235
7,Mamba,real,1.4795
7,Ridge,real,1.3764
7,MLP,real,4.1718
7,BayesianLSTM,augmented,1.3281
7,LSTM,augmented,1.6415
7,GRU,augmented,1.4954
7,BiLSTM,augmented,1.5102
7,Mamba,augmented,1.4736
7,Ridge,augmented,1.6033
7,MLP,augmented,2.2247
123,BayesianLSTM,real,1.2234
123,LSTM,real,1.4743
123,GRU,real,1.4031
123,BiLSTM,real,1.4012
123,Mamba,real,1.4360
123,Ridge,real,1.3764
123,MLP,real,4.4609
123,BayesianLSTM,augmented,1.3713
123,LSTM,augmented,1.5563
123,GRU,augmented,1.3924
123,BiLSTM,augmented,1.1857
123,Mamba,augmented,1.4772
123,Ridge,augmented,1.6033
123,MLP,augmented,1.6935
2024,BayesianLSTM,real,1.1774
2024,LSTM,real,1.2132
2024,GRU,real,1.3914
2024,BiLSTM,real,1.4475
2024,Mamba,real,1.3728
2024,Ridge,real,1.3764
2024,MLP,real,4.3980
2024,BayesianLSTM,augmented,1.3829
2024,LSTM,augmented,1.5196
2024,GRU,augmented,1.2756
2024,BiLSTM,augmented,1.6364
2024,Mamba,augmented,1.7134
2024,Ridge,augmented,1.6033
2024,MLP,augmented,1.8502
